Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           2.9679       2.9679       0.0000     0.0
0.0010           2.9684       2.8525       0.1160    26.4
0.0020           2.9678       2.5022       0.4656   106.0
0.0030           2.9650       1.9097       1.0553   240.1
0.0040           2.9588       1.0845       1.8744   426.5
0.0050           2.9373       0.1169       2.8204   641.8
0.0060           2.8805      -0.6806       3.5611   810.3
0.0070           2.8060      -0.6009       3.4069   775.2
0.0080           2.8632       1.0673       1.7958   408.6
0.0090           3.0897       2.9991       0.0906    20.6
0.0100           2.9790       2.1974       0.7815   177.8
0.0110           2.8050       0.0207       2.7844   633.6
0.0120           2.8424      -0.8097       3.6521   831.0
0.0130           2.9084      -0.3292       3.2375   736.7
0.0140           2.9411       0.6142       2.3268   529.5
0.0150           2.9517       1.5274       1.4243   324.1
0.0160           2.9531       2.2356       0.7175   163.3
0.0170           2.9516       2.7003       0.2514    57.2
0.0180           2.9513       2.9250       0.0263     6.0
0.0190           2.9515       2.9188       0.0327     7.4
0.0200           2.9516       2.6804       0.2712    61.7
0.0210           2.9519       2.2025       0.7494   170.5
0.0220           2.9488       1.4822       1.4666   333.7
0.0230           2.9350       0.5618       2.3732   540.0
0.0240           2.8967      -0.3720       3.2688   743.8
0.0250           2.8226      -0.8066       3.6292   825.8
0.0260           2.7873       0.1037       2.6836   610.6
0.0270           2.9713       2.2838       0.6874   156.4
0.0280           3.0609       2.9316       0.1293    29.4
0.0290           2.8327       0.9488       1.8839   428.7
0.0300           2.7914      -0.6384       3.4298   780.4
0.0310           2.8628      -0.6565       3.5193   800.8
0.0320           2.9129       0.1570       2.7560   627.1
0.0330           2.9319       1.1170       1.8149   413.0
0.0340           2.9361       1.9274       1.0087   229.5
0.0350           2.9357       2.5029       0.4328    98.5
0.0360           2.9358       2.8358       0.1000    22.8
0.0370           2.9355       2.9336       0.0019     0.4
0.0380           2.9359       2.8000       0.1359    30.9
0.0390           2.9375       2.4299       0.5076   115.5
0.0400           2.9357       1.8159       1.1198   254.8
0.0410           2.9275       0.9740       1.9536   444.5
0.0420           2.9031       0.0102       2.8930   658.3
0.0430           2.8475      -0.7304       3.5778   814.1
0.0440           2.7764      -0.5046       3.2810   746.6
0.0450           2.8529       1.2971       1.5558   354.0
0.0460           3.0674       3.0360       0.0314     7.1
0.0470           2.9222       1.9475       0.9747   221.8
0.0480           2.7707      -0.1493       2.9200   664.4
0.0490           2.8218      -0.8054       3.6272   825.3
0.0500           2.8891      -0.2462       3.1353   713.4
0.0510           2.9229       0.7049       2.2180   504.7
0.0520           2.9307       1.5982       1.3324   303.2
0.0530           2.9288       2.2782       0.6506   148.0
0.0540           2.9292       2.7146       0.2146    48.8
0.0550           2.9288       2.9124       0.0164     3.7
0.0560           2.9289       2.8782       0.0507    11.5
0.0570           2.9285       2.6113       0.3173    72.2
0.0580           2.9286       2.1034       0.8252   187.8
0.0590           2.9235       1.3554       1.5680   356.8
0.0600           2.9058       0.4224       2.4835   565.1
0.0610           2.8640      -0.4781       3.3421   760.5
0.0620           2.7864      -0.7806       3.5671   811.7
0.0630           2.7712       0.3465       2.4247   551.7
0.0640           2.9765       2.5117       0.4648   105.8
0.0650           3.0082       2.7425       0.2658    60.5
0.0660           2.7846       0.6469       2.1376   486.4
0.0670           2.7681      -0.7209       3.4890   793.9
0.0680           2.8382      -0.5808       3.4190   778.0
0.0690           2.8838       0.2741       2.6098   593.8
0.0700           2.9000       1.2182       1.6818   382.7
0.0710           2.9035       1.9949       0.9086   206.7
0.0720           2.9043       2.5344       0.3698    84.2
0.0730           2.9036       2.8318       0.0718    16.3
0.0740           2.9034       2.8947       0.0087     2.0
0.0750           2.9043       2.7252       0.1790    40.7
0.0760           2.9045       2.3179       0.5866   133.5
0.0770           2.9018       1.6677       1.2341   280.8
0.0780           2.8915       0.7990       2.0925   476.1
0.0790           2.8608      -0.1534       3.0142   685.8
0.0800           2.7970      -0.7862       3.5832   815.3
0.0810           2.7394      -0.3110       3.0504   694.1
0.0820           2.8599       1.6677       1.1921   271.3
0.0830           3.0370       3.0327       0.0043     1.0
0.0840           2.8461       1.5468       1.2993   295.6
0.0850           2.7396      -0.3768       3.1164   709.1
0.0860           2.7993      -0.7726       3.5719   812.7
0.0870           2.8563      -0.1071       2.9634   674.3
0.0880           2.8824       0.8462       2.0362   463.3
0.0890           2.8900       1.7027       1.1873   270.2
0.0900           2.8901       2.3377       0.5524   125.7
0.0910           2.8892       2.7289       0.1603    36.5
0.0920           2.8889       2.8826       0.0064     1.4
0.0930           2.8893       2.8042       0.0851    19.4
0.0940           2.8893       2.4909       0.3984    90.7
0.0950           2.8868       1.9359       0.9509   216.4
0.0960           2.8817       1.1464       1.7353   394.8
0.0970           2.8638       0.2003       2.6635   606.0
0.0980           2.8126      -0.6255       3.4382   782.3
0.0990           2.7402      -0.6799       3.4201   778.2
0.1000           2.7637       0.7880       1.9757   449.5
0.1010           2.9835       2.7967       0.1867    42.5
0.1020           2.9215       2.3520       0.5695   129.6
0.1030           2.7289       0.2086       2.5204   573.5
0.1040           2.7520      -0.7957       3.5477   807.2
0.1050           2.8168      -0.4328       3.2495   739.4
0.1060           2.8495       0.4715       2.3780   541.1
0.1070           2.8611       1.3847       1.4764   335.9
0.1080           2.8634       2.1061       0.7573   172.3
0.1090           2.8638       2.5869       0.2769    63.0
0.1100           2.8633       2.8273       0.0360     8.2
0.1110           2.8633       2.8335       0.0298     6.8
0.1120           2.8637       2.6060       0.2576    58.6
0.1130           2.8627       2.1389       0.7239   164.7
0.1140           2.8585       1.4309       1.4276   324.8
0.1150           2.8434       0.5266       2.3168   527.2
0.1160           2.8068      -0.3868       3.1936   726.7
0.1170           2.7374      -0.8045       3.5420   805.9
0.1180           2.7035       0.0928       2.6107   594.0
0.1190           2.8797       2.2103       0.6693   152.3
0.1200           2.9665       2.8395       0.1270    28.9
0.1210           2.7497       0.9201       1.8297   416.3
0.1220           2.7079      -0.6348       3.3427   760.6
0.1230           2.7775      -0.6634       3.4409   782.9
0.1240           2.8259       0.1298       2.6961   613.5
0.1250           2.8475       1.0732       1.7742   403.7
0.1260           2.8532       1.8712       0.9820   223.4
0.1270           2.8527       2.4369       0.4158    94.6
0.1280           2.8526       2.7600       0.0925    21.1
0.1290           2.8522       2.8468       0.0054     1.2
0.1300           2.8528       2.7009       0.1519    34.6
0.1310           2.8532       2.3168       0.5364   122.1
0.1320           2.8490       1.6901       1.1588   263.7
0.1330           2.8402       0.8432       1.9970   454.4
0.1340           2.8135      -0.1016       2.9151   663.3
0.1350           2.7585      -0.7678       3.5262   802.4
0.1360           2.6952      -0.3964       3.0917   703.5
0.1370           2.7961       1.4826       1.3135   298.9
0.1380           2.9860       2.9792       0.0068     1.5
0.1390           2.8166       1.6797       1.1369   258.7
0.1400           2.6973      -0.2883       2.9856   679.3
0.1410           2.7501      -0.7898       3.5399   805.5
0.1420           2.8129      -0.1789       2.9918   680.7
0.1430           2.8413       0.7623       2.0790   473.1
0.1440           2.8467       1.6249       1.2218   278.0
0.1450           2.8461       2.2704       0.5757   131.0
0.1460           2.8456       2.6728       0.1728    39.3
0.1470           2.8451       2.8370       0.0081     1.8
0.1480           2.8451       2.7676       0.0775    17.6
0.1490           2.8460       2.4627       0.3833    87.2
0.1500           2.8461       1.9150       0.9311   211.9
0.1510           2.8398       1.1336       1.7062   388.2
0.1520           2.8214       0.1961       2.6254   597.4
0.1530           2.7714      -0.6234       3.3948   772.5
0.1540           2.6954      -0.6833       3.3786   768.8
0.1550           2.7200       0.7554       1.9647   447.0
0.1560           2.9382       2.7442       0.1940    44.1
0.1570           2.8821       2.3385       0.5437   123.7
0.1580           2.6914       0.2236       2.4678   561.5
0.1590           2.7079      -0.7915       3.4994   796.3
0.1600           2.7777      -0.4469       3.2245   733.7
0.1610           2.8136       0.4462       2.3674   538.7
0.1620           2.8246       1.3546       1.4700   334.5
0.1630           2.8276       2.0739       0.7537   171.5
0.1640           2.8282       2.5535       0.2747    62.5
0.1650           2.8276       2.7924       0.0353     8.0
0.1660           2.8274       2.7968       0.0306     7.0
0.1670           2.8279       2.5674       0.2605    59.3
0.1680           2.8274       2.0977       0.7297   166.0
0.1690           2.8243       1.3879       1.4364   326.8
0.1700           2.8091       0.4858       2.3234   528.7
0.1710           2.7681      -0.4145       3.1826   724.2
0.1720           2.6958      -0.7991       3.4949   795.2
0.1730           2.6724       0.1394       2.5330   576.3
0.1740           2.8514       2.2386       0.6128   139.4
0.1750           2.9242       2.7744       0.1498    34.1
0.1760           2.7097       0.8464       1.8633   424.0
0.1770           2.6766      -0.6531       3.3297   757.6
0.1780           2.7488      -0.6498       3.3986   773.3
0.1790           2.7972       0.1476       2.6496   602.9
0.1800           2.8171       1.0834       1.7337   394.5
0.1810           2.8208       1.8705       0.9503   216.2
0.1820           2.8212       2.4249       0.3963    90.2
0.1830           2.8210       2.7370       0.0840    19.1
0.1840           2.8208       2.8135       0.0074     1.7
0.1850           2.8216       2.6563       0.1652    37.6
0.1860           2.8219       2.2605       0.5614   127.7
0.1870           2.8194       1.6226       1.1968   272.3
0.1880           2.8099       0.7687       2.0412   464.5
0.1890           2.7814      -0.1668       2.9482   670.8
0.1900           2.7186      -0.7847       3.5033   797.1
0.1910           2.6621      -0.3164       2.9785   677.7
0.1920           2.7749       1.6095       1.1654   265.2
0.1930           2.9473       2.9422       0.0051     1.2
0.1940           2.7662       1.5137       1.2526   285.0
0.1950           2.6590      -0.3695       3.0285   689.1
0.1960           2.7134      -0.7740       3.4874   793.5
0.1970           2.7705      -0.1308       2.9013   660.2
0.1980           2.7978       0.8043       1.9935   453.6
0.1990           2.8073       1.6482       1.1591   263.7
0.2000           2.8079       2.2736       0.5343   121.6
0.2010           2.8067       2.6560       0.1507    34.3
0.2020           2.8065       2.8003       0.0062     1.4
0.2030           2.8066       2.7108       0.0958    21.8
0.2040           2.8077       2.3846       0.4232    96.3
0.2050           2.8063       1.8156       0.9907   225.4
0.2060           2.7996       1.0175       1.7821   405.5
0.2070           2.7796       0.0822       2.6973   613.8
0.2080           2.7282      -0.6841       3.4123   776.4
0.2090           2.6584      -0.6036       3.2620   742.2
0.2100           2.7078       0.9841       1.7237   392.2
0.2110           2.9194       2.8219       0.0976    22.2
0.2120           2.8219       2.1021       0.7198   163.8
0.2130           2.6557       0.0287       2.6270   597.8
0.2140           2.6902      -0.8043       3.4945   795.1
0.2150           2.7576      -0.3655       3.1231   710.6
0.2160           2.7886       0.5417       2.2469   511.3
0.2170           2.8013       1.4306       1.3707   311.9
0.2180           2.8043       2.1212       0.6831   155.4
0.2190           2.8034       2.5712       0.2322    52.8
0.2200           2.8027       2.7805       0.0222     5.0
0.2210           2.8028       2.7554       0.0475    10.8
0.2220           2.8040       2.4952       0.3087    70.2
0.2230           2.8057       1.9930       0.8126   184.9
0.2240           2.8028       1.2528       1.5500   352.7
0.2250           2.7882       0.3368       2.4514   557.8
0.2260           2.7420      -0.5245       3.2666   743.3
0.2270           2.6704      -0.7590       3.4294   780.3
0.2280           2.6651       0.4169       2.2483   511.6
0.2290           2.8665       2.4840       0.3826    87.0
0.2300           2.8784       2.5697       0.3087    70.2
0.2310           2.6701       0.5294       2.1407   487.1
0.2320           2.6632      -0.7357       3.3990   773.4
0.2330           2.7327      -0.5626       3.2953   749.8
0.2340           2.7765       0.2810       2.4955   567.8
0.2350           2.7931       1.2009       1.5922   362.3
0.2360           2.7972       1.9521       0.8450   192.3
0.2370           2.7983       2.4677       0.3306    75.2
0.2380           2.7975       2.7413       0.0562    12.8
0.2390           2.7974       2.7793       0.0181     4.1
0.2400           2.7979       2.5833       0.2146    48.8
0.2410           2.7983       2.1475       0.6508   148.1
0.2420           2.7948       1.4707       1.3241   301.3
0.2430           2.7844       0.5916       2.1928   498.9
0.2440           2.7503      -0.3218       3.0721   699.0
0.2450           2.6857      -0.8050       3.4907   794.3
0.2460           2.6428      -0.0619       2.7047   615.4
0.2470           2.7980       1.9811       0.8169   185.9
0.2480           2.9169       2.8562       0.0608    13.8
0.2490           2.7098       1.1080       1.6018   364.5
0.2500           2.6401      -0.5532       3.1933   726.6
0.2510           2.7057      -0.7109       3.4166   777.4
0.2520           2.7582       0.0243       2.7339   622.1
0.2530           2.7772       0.9567       1.8206   414.2
0.2540           2.7841       1.7627       1.0214   232.4
0.2550           2.7849       2.3422       0.4427   100.7
0.2560           2.7841       2.6792       0.1049    23.9
0.2570           2.7840       2.7788       0.0053     1.2
0.2580           2.7851       2.6446       0.1405    32.0
0.2590           2.7853       2.2718       0.5135   116.8
0.2600           2.7852       1.6561       1.1291   256.9
0.2610           2.7739       0.8211       1.9529   444.4
0.2620           2.7492      -0.1099       2.8590   650.5
0.2630           2.6911      -0.7651       3.4562   786.4
0.2640           2.6302      -0.4036       3.0337   690.3
0.2650           2.7250       1.4290       1.2960   294.9
0.2660           2.9105       2.9019       0.0086     2.0
0.2670           2.7482       1.6576       1.0906   248.2
0.2680           2.6251      -0.2753       2.9004   660.0
0.2690           2.6770      -0.7900       3.4670   788.9
0.2700           2.7358      -0.2022       2.9380   668.5
0.2710           2.7627       0.7216       2.0411   464.4
0.2720           2.7701       1.5725       1.1976   272.5
0.2730           2.7724       2.2106       0.5618   127.8
0.2740           2.7721       2.6066       0.1656    37.7
0.2750           2.7718       2.7637       0.0081     1.8
0.2760           2.7721       2.6868       0.0852    19.4
0.2770           2.7728       2.3731       0.3997    91.0
0.2780           2.7743       1.8168       0.9575   217.9
0.2790           2.7690       1.0300       1.7390   395.7
0.2800           2.7468       0.1029       2.6439   601.6
0.2810           2.6968      -0.6689       3.3658   765.8
0.2820           2.6265      -0.6252       3.2517   739.9
0.2830           2.6671       0.9027       1.7644   401.5
0.2840           2.8763       2.7554       0.1208    27.5
0.2850           2.7926       2.1349       0.6577   149.6
0.2860           2.6206       0.0789       2.5417   578.3
0.2870           2.6449      -0.7992       3.4440   783.7
0.2880           2.7096      -0.3964       3.1060   706.7
0.2890           2.7445       0.4955       2.2490   511.7
0.2900           2.7601       1.3811       1.3791   313.8
0.2910           2.7625       2.0732       0.6893   156.8
0.2920           2.7640       2.5263       0.2377    54.1
0.2930           2.7636       2.7391       0.0245     5.6
0.2940           2.7636       2.7170       0.0466    10.6
0.2950           2.7635       2.4596       0.3040    69.2
0.2960           2.7634       1.9606       0.8028   182.7
0.2970           2.7614       1.2254       1.5360   349.5
0.2980           2.7474       0.3162       2.4312   553.2
0.2990           2.7022      -0.5336       3.2358   736.3
0.3000           2.6348      -0.7529       3.3877   770.8
0.3010           2.6316       0.4273       2.2042   501.5
0.3020           2.8305       2.4641       0.3664    83.4
0.3030           2.8392       2.5241       0.3151    71.7
0.3040           2.6361       0.5062       2.1299   484.6
0.3050           2.6243      -0.7360       3.3603   764.6
0.3060           2.6916      -0.5607       3.2523   740.0
0.3070           2.7312       0.2752       2.4560   558.8
0.3080           2.7466       1.1853       1.5614   355.3
0.3090           2.7513       1.9277       0.8237   187.4
0.3100           2.7521       2.4351       0.3170    72.1
0.3110           2.7518       2.7008       0.0510    11.6
0.3120           2.7520       2.7306       0.0213     4.9
0.3130           2.7522       2.5254       0.2268    51.6
0.3140           2.7520       2.0800       0.6720   152.9
0.3150           2.7492       1.3947       1.3544   308.2
0.3160           2.7371       0.5137       2.2234   505.9
0.3170           2.7035      -0.3800       3.0835   701.6
0.3180           2.6372      -0.8006       3.4378   782.2
0.3190           2.6041       0.0394       2.5647   583.6
0.3200           2.7693       2.0785       0.6907   157.2
0.3210           2.8612       2.7585       0.1027    23.4
0.3220           2.6543       0.9468       1.7075   388.5
0.3230           2.6051      -0.6063       3.2114   730.7
0.3240           2.6730      -0.6818       3.3548   763.3
0.3250           2.7228       0.0750       2.6478   602.5
0.3260           2.7414       0.9982       1.7433   396.7
0.3270           2.7460       1.7852       0.9608   218.6
0.3280           2.7478       2.3435       0.4044    92.0
0.3290           2.7471       2.6596       0.0875    19.9
0.3300           2.7470       2.7383       0.0087     2.0
0.3310           2.7473       2.5821       0.1652    37.6
0.3320           2.7492       2.1867       0.5625   128.0
0.3330           2.7463       1.5490       1.1973   272.4
0.3340           2.7375       0.7001       2.0374   463.6
0.3350           2.7095      -0.2173       2.9268   666.0
0.3360           2.6460      -0.7914       3.4374   782.1
0.3370           2.5926      -0.2611       2.8537   649.3
0.3380           2.7121       1.6587       1.0534   239.7
0.3390           2.8652       2.8536       0.0116     2.6
0.3400           2.6807       1.3797       1.3011   296.0
0.3410           2.5895      -0.4169       3.0063   684.1
0.3420           2.6458      -0.7615       3.4074   775.3
0.3430           2.6974      -0.1096       2.8070   638.7
0.3440           2.7238       0.8111       1.9127   435.2
0.3450           2.7294       1.6345       1.0949   249.1
0.3460           2.7298       2.2386       0.4912   111.8
0.3470           2.7291       2.6004       0.1287    29.3
0.3480           2.7286       2.7228       0.0058     1.3
0.3490           2.7287       2.6099       0.1189    27.0
0.3500           2.7281       2.2587       0.4695   106.8
0.3510           2.7257       1.6660       1.0597   241.1
0.3520           2.7174       0.8527       1.8647   424.3
0.3530           2.6905      -0.0674       2.7578   627.5
0.3540           2.6340      -0.7455       3.3795   769.0
0.3550           2.5714      -0.4725       3.0439   692.6
0.3560           2.6548       1.2574       1.3974   318.0
0.3570           2.8454       2.8202       0.0251     5.7
0.3580           2.7061       1.7607       0.9455   215.1
0.3590           2.5673      -0.1873       2.7546   626.8
0.3600           2.6095      -0.7989       3.4084   775.5
0.3610           2.6734      -0.2703       2.9437   669.8
0.3620           2.7048       0.6352       2.0696   470.9
0.3630           2.7141       1.4880       1.2262   279.0
0.3640           2.7171       2.1344       0.5827   132.6
0.3650           2.7168       2.5399       0.1769    40.2
0.3660           2.7166       2.7056       0.0110     2.5
0.3670           2.7170       2.6354       0.0815    18.6
0.3680           2.7169       2.3273       0.3895    88.6
0.3690           2.7155       1.7774       0.9381   213.4
0.3700           2.7090       0.9992       1.7098   389.0
0.3710           2.6873       0.0834       2.6039   592.5
0.3720           2.6407      -0.6743       3.3150   754.3
0.3730           2.5727      -0.6212       3.1940   726.8
0.3740           2.6147       0.8890       1.7256   392.6
0.3750           2.8171       2.6998       0.1174    26.7
0.3760           2.7350       2.0860       0.6489   147.7
0.3770           2.5685       0.0681       2.5004   568.9
0.3780           2.5936      -0.7983       3.3919   771.8
0.3790           2.6539      -0.4035       3.0575   695.7
0.3800           2.6876       0.4764       2.2112   503.1
0.3810           2.7000       1.3512       1.3488   306.9
0.3820           2.7035       2.0341       0.6694   152.3
0.3830           2.7034       2.4782       0.2252    51.2
0.3840           2.7031       2.6814       0.0217     4.9
0.3850           2.7032       2.6481       0.0551    12.5
0.3860           2.7031       2.3779       0.3251    74.0
0.3870           2.7025       1.8663       0.8363   190.3
0.3880           2.6967       1.1215       1.5752   358.4
0.3890           2.6761       0.2170       2.4591   559.5
0.3900           2.6316      -0.5933       3.2249   733.8
0.3910           2.5602      -0.7154       3.2756   745.3
0.3920           2.5721       0.5695       2.0026   455.7
0.3930           2.7742       2.5128       0.2614    59.5
0.3940           2.7496       2.3354       0.4142    94.2
0.3950           2.5583       0.3346       2.2237   506.0
0.3960           2.5620      -0.7654       3.3275   757.1
0.3970           2.6284      -0.5167       3.1451   715.6
0.3980           2.6676       0.3264       2.3412   532.7
0.3990           2.6849       1.2171       1.4678   334.0
0.4000           2.6906       1.9335       0.7571   172.3
0.4010           2.6900       2.4140       0.2760    62.8
0.4020           2.6898       2.6525       0.0373     8.5
0.4030           2.6897       2.6543       0.0353     8.0
0.4040           2.6893       2.4197       0.2696    61.3
0.4050           2.6894       1.9439       0.7455   169.6
0.4060           2.6866       1.2317       1.4549   331.0
0.4070           2.6730       0.3421       2.3309   530.4
0.4080           2.6342      -0.5058       3.1400   714.5
0.4090           2.5667      -0.7698       3.3365   759.2
0.4100           2.5600       0.3081       2.2520   512.4
0.4110           2.7467       2.3130       0.4337    98.7
0.4120           2.7763       2.5305       0.2458    55.9
0.4130           2.5761       0.5978       1.9783   450.1
0.4140           2.5547      -0.7083       3.2630   742.5
0.4150           2.6215      -0.6025       3.2240   733.6
0.4160           2.6662       0.2014       2.4648   560.8
0.4170           2.6834       1.1045       1.5789   359.3
0.4180           2.6876       1.8496       0.8380   190.7
0.4190           2.6880       2.3619       0.3261    74.2
0.4200           2.6877       2.6321       0.0556    12.6
0.4210           2.6877       2.6646       0.0231     5.2
0.4220           2.6883       2.4610       0.2273    51.7
0.4230           2.6886       2.0162       0.6724   153.0
0.4240           2.6849       1.3328       1.3520   307.6
0.4250           2.6730       0.4590       2.2140   503.8
0.4260           2.6358      -0.4155       3.0513   694.3
0.4270           2.5734      -0.7971       3.3705   766.9
0.4280           2.5470       0.0842       2.4628   560.4
0.4290           2.7143       2.0891       0.6252   142.3
0.4300           2.7925       2.6667       0.1258    28.6
0.4310           2.5901       0.8579       1.7321   394.1
0.4320           2.5460      -0.6284       3.1743   722.3
0.4330           2.6106      -0.6713       3.2819   746.8
0.4340           2.6637       0.0844       2.5792   586.9
0.4350           2.6814       0.9942       1.6871   383.9
0.4360           2.6861       1.7656       0.9206   209.5
0.4370           2.6858       2.3084       0.3774    85.9
0.4380           2.6855       2.6088       0.0767    17.4
0.4390           2.6856       2.6717       0.0139     3.2
0.4400           2.6861       2.4981       0.1880    42.8
0.4410           2.6860       2.0836       0.6024   137.1
0.4420           2.6839       1.4287       1.2552   285.6
0.4430           2.6711       0.5726       2.0985   477.5
0.4440           2.6391      -0.3201       2.9593   673.4
0.4450           2.5749      -0.8029       3.3778   768.6
0.4460           2.5372      -0.1139       2.6511   603.2
0.4470           2.6807       1.8428       0.8379   190.7
0.4480           2.8002       2.7516       0.0487    11.1
0.4490           2.6062       1.1202       1.4860   338.1
0.4500           2.5400      -0.5261       3.0661   697.7
0.4510           2.5996      -0.7273       3.3269   757.0
0.4520           2.6533      -0.0291       2.6825   610.4
0.4530           2.6750       0.8829       1.7920   407.8
0.4540           2.6814       1.6785       1.0028   228.2
0.4550           2.6829       2.2513       0.4316    98.2
0.4560           2.6830       2.5816       0.1014    23.1
0.4570           2.6827       2.6732       0.0096     2.2
0.4580           2.6832       2.5282       0.1549    35.3
0.4590           2.6843       2.1432       0.5411   123.1
0.4600           2.6804       1.5173       1.1631   264.7
0.4610           2.6683       0.6821       1.9862   451.9
0.4620           2.6397      -0.2210       2.8607   650.9
0.4630           2.5803      -0.7896       3.3699   766.8
0.4640           2.5275      -0.2819       2.8095   639.3
0.4650           2.6450       1.5870       1.0580   240.7
0.4660           2.7984       2.7861       0.0123     2.8
0.4670           2.6241       1.3774       1.2466   283.7
0.4680           2.5300      -0.4015       2.9314   667.0
0.4690           2.5819      -0.7678       3.3497   762.2
0.4700           2.6372      -0.1379       2.7751   631.4
0.4710           2.6613       0.7697       1.8916   430.4
0.4720           2.6661       1.5852       1.0809   245.9
0.4730           2.6664       2.1836       0.4828   109.9
0.4740           2.6655       2.5397       0.1258    28.6
0.4750           2.6651       2.6562       0.0089     2.0
0.4760           2.6654       2.5359       0.1295    29.5
0.4770           2.6658       2.1758       0.4900   111.5
0.4780           2.6653       1.5738       1.0915   248.4
0.4790           2.6557       0.7560       1.8996   432.2
0.4800           2.6288      -0.1496       2.7785   632.2
0.4810           2.5737      -0.7712       3.3449   761.1
0.4820           2.5212      -0.3887       2.9099   662.1
0.4830           2.6174       1.3966       1.2207   277.8
0.4840           2.7904       2.7792       0.0112     2.5
0.4850           2.6357       1.5603       1.0754   244.7
0.4860           2.5196      -0.2956       2.8153   640.6
0.4870           2.5685      -0.7880       3.3565   763.7
0.4880           2.6294      -0.2149       2.8443   647.2
0.4890           2.6555       0.6869       1.9686   447.9
0.4900           2.6634       1.5175       1.1459   260.7
0.4910           2.6658       2.1376       0.5282   120.2
0.4920           2.6650       2.5162       0.1488    33.9
0.4930           2.6648       2.6547       0.0101     2.3
0.4940           2.6653       2.5561       0.1092    24.9
0.4950           2.6657       2.2179       0.4478   101.9
0.4960           2.6634       1.6377       1.0257   233.4
0.4970           2.6559       0.8374       1.8185   413.8
0.4980           2.6321      -0.0702       2.7024   614.9
0.4990           2.5760      -0.7427       3.3187   755.1
0.5000           2.5141      -0.4869       3.0010   682.8
0.5010           2.5909       1.1945       1.3963   317.7
0.5020           2.7768       2.7437       0.0331     7.5
0.5030           2.6461       1.7453       0.9007   205.0
0.5040           2.5125      -0.1721       2.6846   610.8
0.5050           2.5531      -0.8001       3.3532   763.0
0.5060           2.6140      -0.2932       2.9072   661.5
0.5070           2.6414       0.5977       2.0436   465.0
0.5080           2.6512       1.4419       1.2093   275.2
0.5090           2.6532       2.0814       0.5718   130.1
0.5100           2.6529       2.4808       0.1722    39.2
0.5110           2.6529       2.6397       0.0133     3.0
0.5120           2.6531       2.5615       0.0916    20.9
0.5130           2.6542       2.2439       0.4103    93.4
0.5140           2.6524       1.6841       0.9683   220.3
0.5150           2.6449       0.9007       1.7443   396.9
0.5160           2.6201      -0.0038       2.6239   597.0
0.5170           2.5692      -0.7127       3.2819   746.8
0.5180           2.5036      -0.5593       3.0628   696.9
0.5190           2.5642       1.0213       1.5429   351.1
0.5200           2.7563       2.6867       0.0696    15.8
0.5210           2.6518       1.8925       0.7594   172.8
0.5220           2.5012      -0.0565       2.5577   582.0
0.5230           2.5306      -0.8015       3.3321   758.2
0.5240           2.5886      -0.3587       2.9473   670.6
0.5250           2.6224       0.5180       2.1044   478.8
0.5260           2.6361       1.3708       1.2653   287.9
0.5270           2.6398       2.0278       0.6120   139.3
0.5280           2.6394       2.4455       0.1939    44.1
0.5290           2.6393       2.6225       0.0169     3.8
0.5300           2.6393       2.5623       0.0770    17.5
0.5310           2.6398       2.2630       0.3769    85.7
0.5320           2.6367       1.7217       0.9151   208.2
0.5330           2.6293       0.9544       1.6748   381.1
0.5340           2.6107       0.0538       2.5569   581.8
0.5350           2.5625      -0.6833       3.2457   738.5
0.5360           2.4957      -0.6136       3.1093   707.5
0.5370           2.5420       0.8758       1.6663   379.1
0.5380           2.7401       2.6280       0.1121    25.5
0.5390           2.6585       2.0175       0.6410   145.9
0.5400           2.4961       0.0521       2.4440   556.1
0.5410           2.5165      -0.7965       3.3130   753.8
0.5420           2.5784      -0.4123       2.9908   680.5
0.5430           2.6108       0.4513       2.1594   491.4
0.5440           2.6222       1.3117       1.3105   298.2
0.5450           2.6266       1.9825       0.6441   146.6
0.5460           2.6271       2.4154       0.2116    48.2
0.5470           2.6259       2.6064       0.0194     4.4
0.5480           2.6262       2.5588       0.0674    15.3
0.5490           2.6261       2.2719       0.3542    80.6
0.5500           2.6231       1.7436       0.8795   200.1
0.5510           2.6159       0.9882       1.6277   370.4
0.5520           2.5952       0.0931       2.5021   569.3
0.5530           2.5477      -0.6597       3.2075   729.8
0.5540           2.4819      -0.6473       3.1292   712.0
0.5550           2.5201       0.7696       1.7505   398.3
0.5560           2.7160       2.5660       0.1499    34.1
0.5570           2.6520       2.0889       0.5631   128.1
0.5580           2.4813       0.1283       2.3530   535.4
0.5590           2.4994      -0.7895       3.2889   748.4
0.5600           2.5645      -0.4492       3.0137   685.7
0.5610           2.5996       0.4035       2.1961   499.7
0.5620           2.6110       1.2683       1.3428   305.5
0.5630           2.6138       1.9479       0.6659   151.5
0.5640           2.6132       2.3899       0.2234    50.8
0.5650           2.6131       2.5899       0.0232     5.3
0.5660           2.6132       2.5526       0.0606    13.8
0.5670           2.6137       2.2765       0.3372    76.7
0.5680           2.6114       1.7587       0.8527   194.0
0.5690           2.6039       1.0125       1.5915   362.1
0.5700           2.5864       0.1211       2.4653   561.0
0.5710           2.5399      -0.6428       3.1827   724.2
0.5720           2.4752      -0.6691       3.1442   715.4
0.5730           2.5045       0.6974       1.8071   411.2
0.5740           2.6977       2.5191       0.1786    40.6
